商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
顽皮Wanpy Happy100鸡肉鳕鱼汤汁鲜封包猫湿粮 70g,¥2.80,¥3.36,5.0,896,0,//img-new.boqiicdn.com/Data/Shop/0/74/7432/shoppicpath11597827229_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7432.html,142590,70g,,,3个月以上猫,,鸡肉鳕鱼,24个月,0.08KG,￥3.4
纽安吉 仓鼠龙猫等消臭吸水木粒6L,,,4.6,18,0,//img-new.boqiicdn.com/Data/Shop/0/74/7438/shoppicpath11586933072_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,兔子,用具,https://shop.boqii.com/product-7438.html,34264107,,,,,,,,3.33KG,￥30.9
NEW AGE仓鼠支架跑轮静音水晶跑球跑轮转轮,¥9.80,¥12.74,4.3,83,2,//img-new.boqiicdn.com/Data/Shop/0/74/7442/shoppicpath11562829964_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,小宠专区,仓鼠,玩具,https://shop.boqii.com/product-7442.html,34264109,,,,,,,,0.14KG,￥12.7
小宠EHD 犬猫通用皮肤护理药浴液250ml 治疗真菌除螨猫癣,,,4.8,489,3,//img-new.boqiicdn.com/Data/Shop/0/74/7485/shoppicpath11521809154_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,皮肤治疗,https://shop.boqii.com/product-7485.html,1730604,,,,,,,,0.26KG,￥62.4
希宝Sheba 吞拿鱼及美味鲷鱼猫罐头 85g 原装进口,¥10.90,¥11.88,5.0,385,0,//img-new.boqiicdn.com/Data/Shop/0/75/7514/shoppicpath11589267799_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7514.html,1430901,85g,,,成猫,,吞拿鱼及美味鲷鱼,2年,0.10KG,￥11.9
希宝Sheba 吞拿鱼及鲜香银鱼猫罐头 85g 原装进口,¥10.90,¥11.88,5.0,352,0,//img-new.boqiicdn.com/Data/Shop/0/75/7515/shoppicpath11589268230_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7515.html,1430902,85g,,,全猫,,吞拿鱼、银鱼,2年,0.10KG,￥11.9
希宝Sheba 吞拿鱼及翡翠明虾猫罐头 85g 原装进口,¥10.90,¥11.88,4.9,533,0,//img-new.boqiicdn.com/Data/Shop/0/75/7516/shoppicpath11589268465_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7516.html,1430903,85g,,,猫,,吞拿鱼及翡翠明虾,2年,0.10KG,￥11.9
希宝Sheba 白身吞拿鱼猫罐头 85g 原装进口,¥10.90,¥11.88,5.0,327,0,//img-new.boqiicdn.com/Data/Shop/0/75/7517/shoppicpath11589268756_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7517.html,1430904,85g,,,猫,,吞拿鱼,2年,0.10KG,￥11.9
希宝Sheba 吞拿鱼及水晶蟹柳猫罐头 85g 原装进口,¥10.90,¥11.88,5.0,362,0,//img-new.boqiicdn.com/Data/Shop/0/75/7518/shoppicpath11589269607_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7518.html,1430905,85g,,,猫咪,,吞拿鱼及水晶蟹柳,24个月,0.10KG,￥11.9
希宝Sheba 吞拿鱼清汤薄片猫罐头 85g 原装进口,¥10.90,¥11.88,4.9,363,0,//img-new.boqiicdn.com/Data/Shop/0/75/7519/shoppicpath11589269957_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7519.html,1430906,85g,,,全猫,,吞拿鱼,2年,0.10KG,￥11.9
雷米高Ramical 体内驱虫 口服驱虫药 6片装 广谱抗虫 中大型犬专用,¥35.00,¥38.50,4.9,3740,17,//img-new.boqiicdn.com/Data/Shop/0/75/7556/shoppicpath11569744437_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-7556.html,1721120,,,,犬，猫,,,2年,0.01KG,￥38.5
捣蛋鬼 宠物清洁器拾便器,¥10.00,¥11.00,4.8,123,1,//img-new.boqiicdn.com/Data/Shop/0/75/7559/shoppicpath21586758406_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-7559.html,2831201,18*10.6*14cm,,,狗狗,,,,0.16KG,￥11.0
捣蛋鬼 可折叠宠物栅栏围栏 狗狗笼子 超大空间,¥63.50,¥78.00,4.8,46,4,//img-new.boqiicdn.com/Data/Shop/0/75/7562/shoppicpath11563790576_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗住所,https://shop.boqii.com/product-7562.html,2831204,,,,,,,,7.86KG,￥78.0
捣蛋鬼 蛋形宠物窝 内附海绵垫、网格垫,,,4.7,32,0,//img-new.boqiicdn.com/Data/Shop/0/75/7563/shoppicpath21571380244_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,狗狗住所,https://shop.boqii.com/product-7563.html,2831205,,,,,,,,2.92KG,￥140.4
捣蛋鬼  铲镂设计猫头铲  猫砂铲 多色随机发,¥3.00,¥3.30,5.0,144,0,//img-new.boqiicdn.com/Data/Shop/0/75/7564/shoppicpath11576466986_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,排便清洁,https://shop.boqii.com/product-7564.html,2831206,,,,猫咪,,,,0.03KG,￥3.3
捣蛋鬼 大号猫砂铲 多色随机发 清理猫砂,¥3.00,¥3.30,4.8,151,0,//img-new.boqiicdn.com/Data/Shop/0/75/7565/shoppicpath11576466767_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,排便清洁,https://shop.boqii.com/product-7565.html,2831207,,,,猫咪,,,,0.04KG,￥3.3
妙多乐CatChow 均衡营养全价成猫粮 1.5kg,¥56.00,¥61.60,5.0,4446,6,//img-new.boqiicdn.com/Data/Shop/0/75/7569/shoppicpath11540783769_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-7569.html,132210,1.5kg,禽类副产品粉、玉米粉、大豆粉、鱼粉、肉骨粉、动物脂肪等,粗蛋白≥34%、粗脂肪≥13%、OMEGA6≥1.2%、牛磺酸≥,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,1.54KG,￥61.6
小宠EHD 犬猫通用 耳净康滴耳液 50ml 专治耳螨耳炎除耳臭,¥49.00,¥60.00,4.8,1039,2,//img-new.boqiicdn.com/Data/Shop/0/75/7582/shoppicpath11542694181_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7582.html,1730605,,,,犬猫,,,2年,0.10KG,￥60.0
博宇 水族鱼缸水温计 水族箱温度计,,,4.6,26,0,//img-new.boqiicdn.com/Data/Shop/0/76/7674/shoppicpath11569225792_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,温控设备,https://shop.boqii.com/product-7674.html,3532001,,,,,,,,0.07KG,￥5.0
博宇水族鱼缸氧气管软氧气条沙头气石多孔散气条,,,4.9,12,0,//img-new.boqiicdn.com/Data/Shop/0/76/7677/picpath21372666746_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,增氧泵,https://shop.boqii.com/product-7677.html,3532004,,,,,,,,0.13KG,￥5.5
怡亲Yoken 膨润土猫砂 10kg 去味结团 低粉尘不沾底,,,4.8,11625,14,//img-new.boqiicdn.com/Data/Shop/0/77/7720/shoppicpath11585729660_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫砂猫厕,膨润土猫砂,https://shop.boqii.com/product-7720.html,2135602,10kg,,,猫,,,,10.05KG,￥26.3
畅享 三文鱼红米优质离乳犬奶糕幼犬粮 1.5kg,¥85.00,¥93.50,4.9,110,1,//img-new.boqiicdn.com/Data/Shop/0/77/7754/shoppicpath11586327560_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7754.html,1032802,1.5kg,脱水鸡肉、脱水牛肉、干枣,粗蛋白质≥28%、粗脂肪≥15%、钙≥1.2%,断奶前2周-5月龄犬、怀孕哺乳母犬,标准粒,鱼肉,18个月,1.54KG,￥93.5
畅享 鲑鱼红米优质离乳犬奶糕幼犬粮 10kg,¥380.00,¥418.00,4.8,27,0,//img-new.boqiicdn.com/Data/Shop/0/77/7755/shoppicpath11551162784_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7755.html,1032803,10kg,脱水鸡肉、脱水牛肉、干枣、脱水羊肉,粗蛋白质≥28%、粗脂肪≥15%、钙≥1.2%,幼犬,标准粒,鸡肉,18个月,10.27KG,￥418.0
畅享 鸡肉燕麦优质幼犬狗粮 1.5kg,¥75.00,¥82.50,4.9,58,0,//img-new.boqiicdn.com/Data/Shop/0/77/7756/shoppicpath11586327721_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7756.html,1032804,1.5kg,鸡肉、燕麦、水,粗蛋白质≥24%、粗纤维≤4.5%、钙≥1.2%,幼犬,标准颗,鸡肉燕麦,18个月,1.54KG,￥82.5
畅享 鸡肉燕麦优质幼犬狗粮 10Kg,¥329.00,¥361.90,4.9,49,1,//img-new.boqiicdn.com/Data/Shop/0/77/7757/shoppicpath11586327840_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7757.html,1032805,10kg,脱水鸡肉、脱水牛肉、干枣,粗蛋白质≥24%、粗脂肪≥12%、钙≥1.2%,幼犬,标准粒,鸡肉,18个月,10.25KG,￥361.9
畅享 牛肉紫薯成犬粮 1.5kg,¥65.00,¥71.50,4.9,150,0,//img-new.boqiicdn.com/Data/Shop/0/77/7758/shoppicpath11586327951_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7758.html,1032806,1.5kg,牛肉、紫薯,粗蛋白≥22%，粗脂肪≥14.0%，粗纤维≤4.5%，粗灰分≤1,成犬,标准颗粒,牛肉,18个月,1.54KG,￥71.5
畅享 牛肉紫薯成犬粮 10kg,¥309.00,¥339.90,4.9,256,0,//img-new.boqiicdn.com/Data/Shop/0/77/7759/shoppicpath11586328245_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7759.html,1032807,10kg,脱水牛肉、玉米、小麦,粗蛋白质≥22%、粗脂肪≥14%、钙≥1.0%,成犬,标准粒,牛肉,18个月,10.21KG,￥339.9
畅享 鲑鱼红米离乳期犬奶糕粮 500g,¥30.00,¥36.00,4.9,88,0,//img-new.boqiicdn.com/Data/Shop/0/77/7791/shoppicpath11560910413_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7791.html,1032808,0.5kg,鱼肉、鸡肉、精选大米、红米、玉米、大豆卵磷脂,粗蛋白≥28%，粗脂肪≥16.0%，粗纤维≤4.5%，粗灰分≤9,幼犬,标准颗粒,鲑鱼,18个月,0.52KG,￥36.0
小宠EHD 犬猫体外驱虫 喷剂60ml,¥35.00,¥38.50,4.9,1913,5,//img-new.boqiicdn.com/Data/Shop/0/77/7793/shoppicpath11542694048_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-7793.html,1730607,,,,8周龄及以上的犬猫,,,24个月,0.10KG,￥38.5
小宠EHD 洁耳舒 50ml 猫狗预防耳螨耳炎滴耳液,¥35.00,¥42.00,4.8,4118,5,//img-new.boqiicdn.com/Data/Shop/0/77/7795/shoppicpath11574240191_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,综合护理,https://shop.boqii.com/product-7795.html,1730609,,,,犬猫,,,2年,0.08KG,￥42.0
小宠EHD 犬猫肠胃宝益生菌 5g*10包 调理肠胃促消化,¥55.00,¥60.50,4.9,4680,7,//img-new.boqiicdn.com/Data/Shop/0/77/7796/shoppicpath21576727508_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,肠胃调理,https://shop.boqii.com/product-7796.html,1730610,,,,犬猫,,,18个月,0.08KG,￥60.5
小宠EHD 宠物环境祛味消毒液 白兰香型 500ml,¥35.00,¥42.00,4.9,6479,4,//img-new.boqiicdn.com/Data/Shop/0/77/7797/shoppicpath51586253114_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,生活日用,排便清洁,https://shop.boqii.com/product-7797.html,1730611,500ml,,,犬猫通用,,,,0.54KG,￥42.0
醇粹 小型犬幼犬粮 1.5kg 55%肉含量,¥59.00,¥64.90,4.8,102,2,//img-new.boqiicdn.com/Data/Shop/0/78/7835/shoppicpath11572505500_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7835.html,1033701,1.5kg,鸡肉、糙米、鱼肉,粗蛋白质≥30%、粗脂肪≥13%、钙≥1.2%,小型幼犬,标准粒,鸡肉,18个月,1.73KG,￥64.9
醇粹 小型犬幼犬粮 3kg  55%肉含量,¥109.00,¥119.90,4.9,426,4,//img-new.boqiicdn.com/Data/Shop/0/78/7836/shoppicpath11572505710_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7836.html,1033702,3kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟化谷朊粉、天然海,粗蛋白质≥30%、粗脂肪≥13%、钙≥1.2%,小型犬幼犬,标准粒,鸡肉,18个月,3.42KG,￥119.9
醇粹 小型犬成犬粮 1.5kg 55%肉含量,¥53.00,¥58.30,4.9,137,2,//img-new.boqiicdn.com/Data/Shop/0/78/7837/shoppicpath11572505828_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7837.html,1033703,1.5kg,鸡肉、鱼肉、鱼油、鸡脂肪、糙米、海藻粉,粗蛋白质≥29%，粗脂肪≥12%，钙≥1.2%,小型犬成犬,标准,鸡肉,18个月,1.74KG,￥58.3
醇粹 小型犬成犬粮 3kg 55%肉含量,¥99.00,¥108.90,4.9,653,1,//img-new.boqiicdn.com/Data/Shop/0/78/7838/shoppicpath11572506906_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7838.html,3547201,3kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白质≥29%、粗脂肪≥12%、钙≥1.2%,小型犬成犬,标准粒,鸡肉,18个月,3.45KG,￥108.9
醇粹 贵宾专用全犬粮 1.5kg 55%肉含量,¥59.00,¥64.90,4.9,87,5,//img-new.boqiicdn.com/Data/Shop/0/78/7841/shoppicpath11572505953_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7841.html,1033707,1.69kg,鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米,粗蛋白≥28%，粗脂肪≥13.0%，粗纤维≤5%，粗灰分≤10.,成犬,标准颗粒,鸡肉,18个月,1.73KG,￥64.9
醇粹 贵宾专用全犬粮 3kg 55%肉含量,¥109.00,¥119.90,4.9,836,6,//img-new.boqiicdn.com/Data/Shop/0/78/7842/shoppicpath11572506129_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7842.html,1033708,3kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白≥28%、粗脂肪≥13%、OMEGA3≥0.8%、OMEG,贵宾犬成犬,标准颗粒,鸡肉鱼肉美毛增艳配方,18个月,3.38KG,￥119.9
醇粹 全期老年犬粮 1.5kg  55%肉含量,¥63.00,¥69.30,4.9,105,0,//img-new.boqiicdn.com/Data/Shop/0/78/7843/shoppicpath11572506527_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7843.html,1033709,1.5kg,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪,粗蛋白≥27%，粗脂肪≥12.0%，粗纤维≤5%，粗灰分≤10.,老年犬,标准颗粒,鸡肉,18个月,1.69KG,￥69.3
醇粹 小型犬老年期犬粮 3kg  55%肉含量,¥119.00,¥130.90,4.9,552,0,//img-new.boqiicdn.com/Data/Shop/0/78/7844/shoppicpath11572506645_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7844.html,1033710,3KG,优质鲜鸡肉、深海鱼肉、深海鱼油,粗蛋白≥27%，粗脂肪≥12%，钙≥1.2%，水份≤10%,高龄犬,适中,,18个月,3.45KG,￥130.9
醇粹 小型犬幼犬粮 500g 55%含肉量,¥28.00,¥33.60,4.9,411,0,//img-new.boqiicdn.com/Data/Shop/0/78/7859/shoppicpath11591067182_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7859.html,1033714,500g,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟化谷朊粉、天然海,粗蛋白质≥30%、粗脂肪≥13%、钙≥1.2%,小型犬幼犬,标准粒,鸡肉,18个月,0.52KG,￥33.6
醇粹 小型犬成犬粮 500g 55%含肉量,¥28.00,¥33.60,4.9,616,0,//img-new.boqiicdn.com/Data/Shop/0/78/7860/shoppicpath11591068255_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7860.html,1033715,500g,优质鲜鸡肉、深海鱼肉、深海鱼油,粗蛋白≥29%，粗脂肪≥12%，钙≥1.2%，水份≤10%,小型犬成犬,适中,,18个月,0.53KG,￥33.6
醇粹 贵宾全犬粮 500g 55%含肉量,¥28.00,¥33.60,4.8,548,2,//img-new.boqiicdn.com/Data/Shop/0/78/7862/shoppicpath11591068403_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7862.html,1033717,500g,鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟化谷朊粉、天然海藻粉,粗蛋白≥28%、粗脂肪≥13%、OMEGA3≥0.8%、OMEG,12月龄以上贵宾成犬,标准颗粒,鸡肉鱼肉美毛增艳配方,18个月,0.52KG,￥33.6
醇粹 小型犬老年犬粮  500g 55%含肉量,¥28.00,¥33.60,4.9,196,0,//img-new.boqiicdn.com/Data/Shop/0/78/7863/shoppicpath11591068611_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7863.html,1033718,500g,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白≥27%、粗脂肪≥12%、OMEGA3≥0.8%、OMEG,7岁以上老龄犬,标准颗粒,鸡肉鱼肉易消化关节配方,18个月,0.52KG,￥33.6
醇粹 大型犬奶糕及幼犬粮 500g 55%含肉量,¥28.00,¥33.60,4.8,172,2,//img-new.boqiicdn.com/Data/Shop/0/78/7865/shoppicpath11579227628_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7865.html,1033720,500g,优质鲜鸡肉、深海鱼肉、深海鱼油、鸡脂肪、糙米、熟话谷朊粉、天然海,粗蛋白质≥30%、粗纤维≤5%、钙≥1.2%,大型犬幼犬,标准颗,鸡肉,18个月,0.52KG,￥33.6
醇粹 大型犬成犬粮 500g 55%含肉量,¥28.00,¥33.60,4.9,133,0,//img-new.boqiicdn.com/Data/Shop/0/78/7866/shoppicpath11591068746_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7866.html,1033721,0.5kg,鸡肉、鱼肉、鱼油、鸡脂肪、糙米、海藻粉,粗蛋白质≥29%，粗脂肪≥12%，钙≥1.2%,大型成犬,标准,鸡肉,18个月,0.52KG,￥33.6
法国皇家Royal Canin 德国牧羊犬幼犬粮 12kg,¥714.00,¥785.40,5.0,83,1,//img-new.boqiicdn.com/Data/Shop/0/78/7869/shoppicpath11617173410_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7869.html,1001404,12kg,脱水家禽肉、稻米、玉米、动物脂肪、小麦麸质、甜菜浆、矿物质、鱼油,,德牧幼犬,标准粒,肉,12个月,12.00KG,￥785.4
法国皇家Royal Canin 德国牧羊犬成犬粮 12kg,¥668.00,¥734.80,5.0,131,0,//img-new.boqiicdn.com/Data/Shop/0/78/7870/shoppicpath11561542779_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-7870.html,1001405,12kg,大米、禽肉骨粉、鸡油,粗蛋白质≥21%、粗脂肪≥16.5%、钙≥0.8%,德牧成犬,标准粒,鸡肉,12个月,12.21KG,￥734.8
雷米高Ramical 犬猫体内驱虫 口服驱虫药  1片装 广谱抗虫 整盒拆卖 包装内无效期展示 介意慎拍 有效期24个月,¥9.00,¥11.70,4.7,979,12,//img-new.boqiicdn.com/Data/Shop/0/78/7875/shoppicpath11569744772_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,医疗护理,内外驱虫,https://shop.boqii.com/product-7875.html,1721121,,,,中大型犬,,,24个月,0.01KG,￥11.7
怡亲Yoken 牛肉蔬菜犬用湿粮鲜封包 110g,¥4.50,¥9.80,4.8,865,0,//img-new.boqiicdn.com/Data/Shop/0/78/7876/shoppicpath11564628883_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7876.html,1125605,110g,,,成犬,,牛肉蔬菜,24个月,0.11KG,￥9.8
怡亲Yoken 牛肉蔬菜幼犬湿粮鲜封包 110g,,,4.7,676,5,//img-new.boqiicdn.com/Data/Shop/0/78/7877/shoppicpath11543299969_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7877.html,1125606,110g,,,幼犬,,牛肉蔬菜,24个月,0.11KG,￥6.1
怡亲Yoken 三文鱼炖鸡幼犬湿粮鲜封包 110g,,,4.5,1494,5,//img-new.boqiicdn.com/Data/Shop/0/78/7878/shoppicpath11535522848_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7878.html,1125607,110g,,,幼犬,,三文鱼鸡肉,24个月,0.12KG,￥6.1
怡亲Yoken 三文鱼炖鸡犬用湿粮鲜封包110g,¥4.50,¥9.80,4.8,987,0,//img-new.boqiicdn.com/Data/Shop/0/78/7879/shoppicpath11564629536_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-7879.html,1125608,110g,,,成犬,,三文鱼炖鸡,24个月,0.12KG,￥9.8
怡亲Yoken 精选小黄鱼鸡肉鲜封包猫湿粮 110g,¥4.50,¥9.80,4.9,1046,2,//img-new.boqiicdn.com/Data/Shop/0/78/7881/shoppicpath11564540116_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7881.html,1125611,110g,,,猫用、全猫种全猫期,,小黄鱼鸡肉,2年,0.11KG,￥9.8
怡亲Yoken 金枪鱼吞拿鱼海鲜鲜封包猫湿粮 110g,¥4.50,¥9.80,4.9,1037,1,//img-new.boqiicdn.com/Data/Shop/0/78/7883/shoppicpath11564628160_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-7883.html,1125613,110g,,,猫,,金枪鱼吞拿鱼,2年,0.11KG,￥9.8
森森HJ-941多功能潜水泵16W循环泵流水泵,¥24.00,¥24.70,4.5,6,0,//img-new.boqiicdn.com/Data/Shop/0/79/7927/shoppicpath11561615164_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7927.html,35268184,,,,,,,,0.39KG,￥24.7
森森鱼缸水族箱潜水泵 HJ-731可调节水量大小,,,5.0,3,0,//img-new.boqiicdn.com/Data/Shop/0/79/7928/shoppicpath11561615214_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7928.html,35268185,,,,,,,,0.38KG,￥23.4
森森鱼缸水族箱潜水泵 多功能潜水泵HJ-1841,,,0.0,0,0,//img-new.boqiicdn.com/Data/Shop/0/79/7929/shoppicpath11561615264_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,水族专区,器材,潜水泵,https://shop.boqii.com/product-7929.html,35268186,,,,,,,,0.96KG,￥63.7
